dataset,horizon,model_combination,split,model_type,metric,value
ETT-small_ETTh1,192,DLinear-DLinear,train,Teacher,mae,2.796726
ETT-small_ETTh1,192,DLinear-DLinear,train,Teacher,mse,13.324301
ETT-small_ETTh1,192,DLinear-DLinear,train,Teacher,mape,4219372.500000
ETT-small_ETTh1,192,DLinear-DLinear,train,Teacher,wape,16.694515
ETT-small_ETTh1,192,DLinear-DLinear,val,Teacher,mae,1.928566
ETT-small_ETTh1,192,DLinear-DLinear,val,Teacher,mse,6.291074
ETT-small_ETTh1,192,DLinear-DLinear,val,Teacher,mape,52182992.000000
ETT-small_ETTh1,192,DLinear-DLinear,val,Teacher,wape,34.462894
ETT-small_ETTh1,192,DLinear-DLinear,test,Teacher,mae,2.208687
ETT-small_ETTh1,192,DLinear-DLinear,test,Teacher,mse,8.052228
ETT-small_ETTh1,192,DLinear-DLinear,test,Teacher,mape,15258539.000000
ETT-small_ETTh1,192,DLinear-DLinear,test,Teacher,wape,27.279171
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_TaskOnly,mae,2.796726
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_TaskOnly,mse,13.324304
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_TaskOnly,mape,4219374.000000
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_TaskOnly,wape,16.694513
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_TaskOnly,mae,1.928566
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_TaskOnly,mse,6.291074
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_TaskOnly,mape,52182992.000000
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_TaskOnly,wape,34.462894
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_TaskOnly,mae,2.208687
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_TaskOnly,mse,8.052228
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_TaskOnly,mape,15258539.000000
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_TaskOnly,wape,27.279171
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_RDT,mae,2.814683
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_RDT,mse,13.465978
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_RDT,mape,4166287.500000
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_RDT,wape,16.801691
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_RDT,mae,1.929057
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_RDT,mse,6.212658
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_RDT,mape,49325000.000000
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_RDT,wape,34.471680
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_RDT,mae,2.247395
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_RDT,mse,8.314051
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_RDT,mape,14721869.000000
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_RDT,wape,27.757244
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_Follower,mae,2.797148
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_Follower,mse,13.326943
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_Follower,mape,4221234.500000
ETT-small_ETTh1,192,DLinear-DLinear,train,Student_Follower,wape,16.697025
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_Follower,mae,1.928370
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_Follower,mse,6.286091
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_Follower,mape,52083024.000000
ETT-small_ETTh1,192,DLinear-DLinear,val,Student_Follower,wape,34.459400
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_Follower,mae,2.209929
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_Follower,mse,8.059230
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_Follower,mape,15236850.000000
ETT-small_ETTh1,192,DLinear-DLinear,test,Student_Follower,wape,27.294514
ETT-small_ETTh1,24,DLinear-DLinear,train,Teacher,mae,1.757114
ETT-small_ETTh1,24,DLinear-DLinear,train,Teacher,mse,5.847135
ETT-small_ETTh1,24,DLinear-DLinear,train,Teacher,mape,2098695.250000
ETT-small_ETTh1,24,DLinear-DLinear,train,Teacher,wape,10.448175
ETT-small_ETTh1,24,DLinear-DLinear,val,Teacher,mae,1.130655
ETT-small_ETTh1,24,DLinear-DLinear,val,Teacher,mse,2.291830
ETT-small_ETTh1,24,DLinear-DLinear,val,Teacher,mape,19918646.000000
ETT-small_ETTh1,24,DLinear-DLinear,val,Teacher,wape,20.272688
ETT-small_ETTh1,24,DLinear-DLinear,test,Teacher,mae,1.286085
ETT-small_ETTh1,24,DLinear-DLinear,test,Teacher,mse,3.066453
ETT-small_ETTh1,24,DLinear-DLinear,test,Teacher,mape,10073786.000000
ETT-small_ETTh1,24,DLinear-DLinear,test,Teacher,wape,16.083729
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_TaskOnly,mae,1.757114
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_TaskOnly,mse,5.847136
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_TaskOnly,mape,2098695.750000
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_TaskOnly,wape,10.448178
ETT-small_ETTh1,24,DLinear-DLinear,val,Student_TaskOnly,mae,1.130655
ETT-small_ETTh1,24,DLinear-DLinear,val,Student_TaskOnly,mse,2.291830
ETT-small_ETTh1,24,DLinear-DLinear,val,Student_TaskOnly,mape,19918646.000000
ETT-small_ETTh1,24,DLinear-DLinear,val,Student_TaskOnly,wape,20.272688
ETT-small_ETTh1,24,DLinear-DLinear,test,Student_TaskOnly,mae,1.286085
ETT-small_ETTh1,24,DLinear-DLinear,test,Student_TaskOnly,mse,3.066453
ETT-small_ETTh1,24,DLinear-DLinear,test,Student_TaskOnly,mape,10073786.000000
ETT-small_ETTh1,24,DLinear-DLinear,test,Student_TaskOnly,wape,16.083729
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_RDT,mae,1.757832
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_RDT,mse,5.841455
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_RDT,mape,2106898.500000
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_RDT,wape,10.452451
ETT-small_ETTh1,24,DLinear-DLinear,val,Student_RDT,mae,1.131271
ETT-small_ETTh1,24,DLinear-DLinear,val,Student_RDT,mse,2.295373
ETT-small_ETTh1,24,DLinear-DLinear,val,Student_RDT,mape,20323368.000000
ETT-small_ETTh1,24,DLinear-DLinear,val,Student_RDT,wape,20.283735
ETT-small_ETTh1,24,DLinear-DLinear,test,Student_RDT,mae,1.281087
ETT-small_ETTh1,24,DLinear-DLinear,test,Student_RDT,mse,3.056768
ETT-small_ETTh1,24,DLinear-DLinear,test,Student_RDT,mape,10225332.000000
ETT-small_ETTh1,24,DLinear-DLinear,test,Student_RDT,wape,16.021219
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_Follower,mae,1.757160
ETT-small_ETTh1,24,DLinear-DLinear,train,Student_Follower,mse,5.847233
